country	continent	year	lifeExp	pop	gdpPercap
Denmark	Europe	1952	70.78	4334000	9692.385245
Denmark	Europe	1957	71.81	4487831	11099.65935
Denmark	Europe	1962	72.35	4646899	13583.31351
Denmark	Europe	1967	72.96	4838800	15937.21123
Denmark	Europe	1972	73.47	4991596	18866.20721
Denmark	Europe	1977	74.69	5088419	20422.9015
Denmark	Europe	1982	74.63	5117810	21688.04048
Denmark	Europe	1987	74.8	5127024	25116.17581
Denmark	Europe	1992	75.33	5171393	26406.73985
Denmark	Europe	1997	76.11	5283663	29804.34567
Denmark	Europe	2002	77.18	5374693	32166.50006
Denmark	Europe	2007	78.332	5468120	35278.41874
Finland	Europe	1952	66.55	4090500	6424.519071
Finland	Europe	1957	67.49	4324000	7545.415386
Finland	Europe	1962	68.75	4491443	9371.842561
Finland	Europe	1967	69.83	4605744	10921.63626
Finland	Europe	1972	70.87	4639657	14358.8759
Finland	Europe	1977	72.52	4738902	15605.42283
Finland	Europe	1982	74.55	4826933	18533.15761
Finland	Europe	1987	74.83	4931729	21141.01223
Finland	Europe	1992	75.7	5041039	20647.16499
Finland	Europe	1997	77.13	5134406	23723.9502
Finland	Europe	2002	78.37	5193039	28204.59057
Finland	Europe	2007	79.313	5238460	33207.0844
Iceland	Europe	1952	72.49	147962	7267.688428
Iceland	Europe	1957	73.47	165110	9244.001412
Iceland	Europe	1962	73.68	182053	10350.15906
Iceland	Europe	1967	73.73	198676	13319.89568
Iceland	Europe	1972	74.46	209275	15798.06362
Iceland	Europe	1977	76.11	221823	19654.96247
Iceland	Europe	1982	76.99	233997	23269.6075
Iceland	Europe	1987	77.23	244676	26923.20628
Iceland	Europe	1992	78.77	259012	25144.39201
Iceland	Europe	1997	78.95	271192	28061.09966
Iceland	Europe	2002	80.5	288030	31163.20196
Iceland	Europe	2007	81.757	301931	36180.78919
Norway	Europe	1952	72.67	3327728	10095.42172
Norway	Europe	1957	73.44	3491938	11653.97304
Norway	Europe	1962	73.47	3638919	13450.40151
Norway	Europe	1967	74.08	3786019	16361.87647
Norway	Europe	1972	74.34	3933004	18965.05551
Norway	Europe	1977	75.37	4043205	23311.34939
Norway	Europe	1982	75.97	4114787	26298.63531
Norway	Europe	1987	75.89	4186147	31540.9748
Norway	Europe	1992	77.32	4286357	33965.66115
Norway	Europe	1997	78.32	4405672	41283.16433
Norway	Europe	2002	79.05	4535591	44683.97525
Norway	Europe	2007	80.196	4627926	49357.19017
Sweden	Europe	1952	71.86	7124673	8527.844662
Sweden	Europe	1957	72.49	7363802	9911.878226
Sweden	Europe	1962	73.37	7561588	12329.44192
Sweden	Europe	1967	74.16	7867931	15258.29697
Sweden	Europe	1972	74.72	8122293	17832.02464
Sweden	Europe	1977	75.44	8251648	18855.72521
Sweden	Europe	1982	76.42	8325260	20667.38125
Sweden	Europe	1987	77.19	8421403	23586.92927
Sweden	Europe	1992	78.16	8718867	23880.01683
Sweden	Europe	1997	79.39	8897619	25266.59499
Sweden	Europe	2002	80.04	8954175	29341.63093
Sweden	Europe	2007	80.884	9031088	33859.74835
